Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
202,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
203,Paulo Londra,"5,40,87,39,140","11,98,32,137",37,0,16,16.09.22
204,Labrinth,"5,40,83,85,063","39,65,87,742",149,0,14,31.07.22
205,John Legend,"5,38,44,05,995","2,40,31,69,234",249,1,8,31.07.22
206,Frank Sinatra,"5,38,20,91,415","7,70,42,747","2,171",0,13,14.08.22
207,Don Omar,"5,37,40,11,725","1,95,78,56,299",237,0,13,08.09.22
208,Morgan Wallen,"5,34,54,29,164","52,13,01,528",60,0,17,13.09.22
209,System Of A Down,"5,30,67,47,245","9,97,641",83,0,10,18.08.22
210,Megan Thee Stallion,"5,27,46,21,614","1,65,61,64,329",131,1,12,19.09.22
211,Rita Ora,"5,25,71,67,753","70,94,21,106",133,0,14,19.09.22
212,The 1975,"5,23,24,30,866","15,60,55,221",136,0,13,13.09.22
213,Rae Sremmurd,"5,22,69,74,030","54,40,47,899",62,0,13,08.09.22
214,Tame Impala,"5,21,40,42,684","17,40,98,397",101,1,11,20.09.22
215,Melanie Martinez,"5,19,41,99,440","52,32,238",58,0,17,19.09.22
216,TWICE,"5,18,15,86,735","3,94,96,270",220,0,13,17.09.22
217,Muse,"5,18,11,50,140","64,02,079",253,0,11,10.09.22
218,Gucci Mane,"5,17,94,22,858","4,90,58,65,217","2,117",0,5,17.08.22
219,Jack Johnson,"5,17,68,54,131","3,96,60,958",190,0,9,07.09.22
220,The Notorious B.I.G.,"5,17,19,77,853","69,95,74,957",185,0,12,31.07.22
221,Troye Sivan,"5,10,37,26,645","87,36,35,526",105,0,12,19.09.22
222,Bon Jovi,"5,10,13,38,141","13,35,247",329,1,9,17.09.22
223,Paramore,"5,09,53,48,178",0,114,0,11,14.09.22
224,Mumford & Sons,"5,08,81,24,853","1,87,47,880",121,0,12,15.09.22
225,ABBA,"5,00,41,52,913","1,46,654",160,0,14,01.09.22
226,6ix9ine,"4,98,89,07,666","1,11,73,26,282",57,0,16,14.09.22
227,Slipknot,"4,98,04,73,881",0,208,0,10,11.08.22
228,Bazzi,"4,94,11,86,159","6,25,40,256",39,0,12,31.07.22
229,Gusttavo Lima,"4,93,81,41,476","87,63,55,276",287,0,9,26.08.22
230,Oasis,"4,92,48,51,582","1,134",237,1,7,19.09.22
231,Morat,"4,91,96,40,815","43,61,78,161",74,0,15,31.08.22
232,Sean Paul,"4,91,09,36,441","3,85,39,99,824",400,0,10,31.07.22
233,Felix Jaehn,"4,90,13,74,743","19,45,35,961",172,1,12,31.07.22
234,The Lumineers,"4,89,47,19,810",0,86,0,8,29.08.22
235,Justin Quiles,"4,87,89,76,278","4,31,04,89,285",163,0,14,31.07.22
236,Dalex,"4,87,18,72,181","1,03,63,88,958",129,0,15,03.09.22
